barid,taxid,name,zip,date,gross
685,MB202068,"SOUTH BEACH",77006,2005-03-01,122315
685,MB202068,"SOUTH BEACH",77006,2005-04-01,119120
685,MB202068,"SOUTH BEACH",77006,2005-05-01,109246
685,MB202068,"SOUTH BEACH",77006,2005-06-01,114911
685,MB202068,"SOUTH BEACH",77006,2005-07-01,129326
685,MB202068,"SOUTH BEACH",77006,2005-08-01,111298
685,MB202068,"SOUTH BEACH",77006,2005-09-01,113455
685,MB202068,"SOUTH BEACH",77006,2005-10-01,128177
685,MB202068,"SOUTH BEACH",77006,2005-11-01,122234
685,MB202068,"SOUTH BEACH",77006,2005-12-01,144246
685,MB202068,"SOUTH BEACH",77006,2006-01-01,110625
685,MB202068,"SOUTH BEACH",77006,2006-02-01,110144
685,MB202068,"SOUTH BEACH",77006,2006-03-01,133872
685,MB202068,"SOUTH BEACH",77006,2006-04-01,123296
685,MB202068,"SOUTH BEACH",77006,2006-05-01,116977
685,MB202068,"SOUTH BEACH",77006,2006-06-01,113506
685,MB202068,"SOUTH BEACH",77006,2006-07-01,113852
685,MB202068,"SOUTH BEACH",77006,2006-08-01,99826
685,MB202068,"SOUTH BEACH",77006,2006-09-01,122189
685,MB202068,"SOUTH BEACH",77006,2006-10-01,118888
685,MB202068,"SOUTH BEACH",77006,2006-11-01,98517
685,MB202068,"SOUTH BEACH",77006,2006-12-01,144402
685,MB202068,"SOUTH BEACH",77006,2007-01-01,105052
685,MB202068,"SOUTH BEACH",77006,2007-02-01,95901
685,MB202068,"SOUTH BEACH",77006,2007-03-01,123524
685,MB202068,"SOUTH BEACH",77006,2007-04-01,98334
685,MB202068,"SOUTH BEACH",77006,2007-05-01,104700
685,MB202068,"SOUTH BEACH",77006,2007-06-01,118737
685,MB202068,"SOUTH BEACH",77006,2007-07-01,99841
685,MB202068,"SOUTH BEACH",77006,2007-08-01,98144
685,MB202068,"SOUTH BEACH",77006,2007-09-01,102317
685,MB202068,"SOUTH BEACH",77006,2007-10-01,96433
685,MB202068,"SOUTH BEACH",77006,2007-11-01,90419
685,MB202068,"SOUTH BEACH",77006,2007-12-01,115490
685,MB202068,"SOUTH BEACH",77006,2008-01-01,85361
685,MB202068,"SOUTH BEACH",77006,2008-02-01,82115
685,MB202068,"SOUTH BEACH",77006,2008-03-01,98825
685,MB202068,"SOUTH BEACH",77006,2008-04-01,82826
685,MB202068,"SOUTH BEACH",77006,2008-05-01,103947
685,MB202068,"SOUTH BEACH",77006,2008-06-01,90675
685,MB202068,"SOUTH BEACH",77006,2008-07-01,87937
685,MB202068,"SOUTH BEACH",77006,2008-08-01,104284
685,MB202068,"SOUTH BEACH",77006,2008-09-01,51009
685,MB202068,"SOUTH BEACH",77006,2008-10-01,105548
685,MB202068,"SOUTH BEACH",77006,2008-11-01,115038
685,MB202068,"SOUTH BEACH",77006,2008-12-01,100311
685,MB202068,"SOUTH BEACH",77006,2009-01-01,105918
685,MB202068,"SOUTH BEACH",77006,2009-02-01,79939
685,MB202068,"SOUTH BEACH",77006,2009-03-01,103001
685,MB202068,"SOUTH BEACH",77006,2009-04-01,79380
685,MB202068,"SOUTH BEACH",77006,2009-05-01,112736
685,MB202068,"SOUTH BEACH",77006,2009-06-01,92124
685,MB202068,"SOUTH BEACH",77006,2009-07-01,98302
685,MB202068,"SOUTH BEACH",77006,2009-08-01,87259
685,MB202068,"SOUTH BEACH",77006,2009-09-01,73512
685,MB202068,"SOUTH BEACH",77006,2009-10-01,93420
685,MB202068,"SOUTH BEACH",77006,2009-11-01,59100
685,MB202068,"SOUTH BEACH",77006,2009-12-01,66826
685,MB202068,"SOUTH BEACH",77006,2010-01-01,68339
685,MB202068,"SOUTH BEACH",77006,2010-02-01,63225
685,MB202068,"SOUTH BEACH",77006,2010-03-01,75902
685,MB202068,"SOUTH BEACH",77006,2010-04-01,68436
685,MB202068,"SOUTH BEACH",77006,2010-05-01,71458
685,MB202068,"SOUTH BEACH",77006,2010-06-01,76065
685,MB202068,"SOUTH BEACH",77006,2010-07-01,98343
685,MB202068,"SOUTH BEACH",77006,2010-08-01,64090
685,MB202068,"SOUTH BEACH",77006,2010-09-01,64966
685,MB202068,"SOUTH BEACH",77006,2010-10-01,84040
685,MB202068,"SOUTH BEACH",77006,2010-11-01,51745
685,MB202068,"SOUTH BEACH",77006,2010-12-01,54909
685,MB202068,"SOUTH BEACH",77006,2011-01-01,64404
685,MB202068,"SOUTH BEACH",77006,2011-02-01,57402
685,MB202068,"SOUTH BEACH",77006,2011-03-01,46626
685,MB202068,"SOUTH BEACH",77006,2011-04-01,55167
685,MB202068,"SOUTH BEACH",77006,2011-05-01,56862
685,MB202068,"SOUTH BEACH",77006,2011-06-01,55623
685,MB202068,"SOUTH BEACH",77006,2011-07-01,56926
685,MB202068,"SOUTH BEACH",77006,2011-08-01,37439
685,MB202068,"SOUTH BEACH",77006,2011-09-01,46087
685,MB202068,"SOUTH BEACH",77006,2011-10-01,66539
685,MB202068,"SOUTH BEACH",77006,2011-11-01,53165
685,MB202068,"SOUTH BEACH",77006,2011-12-01,55123
685,MB202068,"SOUTH BEACH",77006,2012-01-01,39800
685,MB202068,"SOUTH BEACH",77006,2012-02-01,47114
685,MB202068,"SOUTH BEACH",77006,2012-03-01,58138
685,MB202068,"SOUTH BEACH",77006,2012-04-01,44224
685,MB202068,"SOUTH BEACH",77006,2012-05-01,55918
685,MB202068,"SOUTH BEACH",77006,2012-06-01,88070
685,MB202068,"SOUTH BEACH",77006,2012-07-01,53876
685,MB202068,"SOUTH BEACH",77006,2012-08-01,44593
685,MB202068,"SOUTH BEACH",77006,2012-09-01,50030
685,MB202068,"SOUTH BEACH",77006,2012-10-01,45527
685,MB202068,"SOUTH BEACH",77006,2012-11-01,35481
685,MB202068,"SOUTH BEACH",77006,2012-12-01,42668
685,MB202068,"SOUTH BEACH",77006,2013-01-01,42129
685,MB202068,"SOUTH BEACH",77006,2013-02-01,37196
685,MB202068,"SOUTH BEACH",77006,2013-03-01,45965
685,MB202068,"SOUTH BEACH",77006,2013-04-01,34955
685,MB202068,"SOUTH BEACH",77006,2013-05-01,58723
685,MB202068,"SOUTH BEACH",77006,2013-06-01,82944
685,MB202068,"SOUTH BEACH",77006,2013-07-01,33794
685,MB202068,"SOUTH BEACH",77006,2013-08-01,38531
685,MB202068,"SOUTH BEACH",77006,2013-09-01,24270
685,MB202068,"SOUTH BEACH",77006,2013-10-01,35976
685,MB202068,"SOUTH BEACH",77006,2013-11-01,37238
685,MB202068,"SOUTH BEACH",77006,2013-12-01,35561
685,MB202068,"SOUTH BEACH",77006,2014-01-01,39456
685,MB202068,"SOUTH BEACH",77006,2014-02-01,45148
685,MB202068,"SOUTH BEACH",77006,2014-03-01,63217
685,MB202068,"SOUTH BEACH",77006,2014-04-01,56174
685,MB202068,"SOUTH BEACH",77006,2014-05-01,81009
685,MB202068,"SOUTH BEACH",77006,2014-06-01,71636
685,MB202068,"SOUTH BEACH",77006,2014-07-01,49148
685,MB202068,"SOUTH BEACH",77006,2014-08-01,51457
685,MB202068,"SOUTH BEACH",77006,2014-09-01,36640
685,MB202068,"SOUTH BEACH",77006,2014-10-01,45867
685,MB202068,"SOUTH BEACH",77006,2014-11-01,33228
685,MB202068,"SOUTH BEACH",77006,2014-12-01,47901
701,MB204332,"WARREN'S INN",77002,2004-01-01,55606
701,MB204332,"WARREN'S INN",77002,2004-02-01,32984
701,MB204332,"WARREN'S INN",77002,2004-03-01,31479
701,MB204332,"WARREN'S INN",77002,2004-04-01,32292
701,MB204332,"WARREN'S INN",77002,2004-05-01,36890
701,MB204332,"WARREN'S INN",77002,2004-06-01,33108
701,MB204332,"WARREN'S INN",77002,2004-07-01,39885
701,MB204332,"WARREN'S INN",77002,2004-08-01,32865
701,MB204332,"WARREN'S INN",77002,2004-09-01,32779
701,MB204332,"WARREN'S INN",77002,2004-10-01,35556
701,MB204332,"WARREN'S INN",77002,2004-11-01,32137
701,MB204332,"WARREN'S INN",77002,2004-12-01,42329
701,MB204332,"WARREN'S INN",77002,2005-01-01,33071
701,MB204332,"WARREN'S INN",77002,2005-02-01,32780
701,MB204332,"WARREN'S INN",77002,2005-03-01,36449
701,MB204332,"WARREN'S INN",77002,2005-04-01,35117
701,MB204332,"WARREN'S INN",77002,2005-05-01,30561
701,MB204332,"WARREN'S INN",77002,2005-06-01,30408
701,MB204332,"WARREN'S INN",77002,2005-07-01,32158
701,MB204332,"WARREN'S INN",77002,2005-08-01,28363
701,MB204332,"WARREN'S INN",77002,2005-09-01,30880
701,MB204332,"WARREN'S INN",77002,2005-10-01,40482
701,MB204332,"WARREN'S INN",77002,2005-11-01,33050
701,MB204332,"WARREN'S INN",77002,2005-12-01,40306
701,MB204332,"WARREN'S INN",77002,2006-01-01,35143
701,MB204332,"WARREN'S INN",77002,2006-02-01,35031
701,MB204332,"WARREN'S INN",77002,2006-03-01,37507
701,MB204332,"WARREN'S INN",77002,2006-04-01,34620
701,MB204332,"WARREN'S INN",77002,2006-05-01,34730
